target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
red_2,blue_2,green_2,purple_2,s1,incorrect,blue_2,c2,37,2,Mnemonic,ad,0,4,red
green_3,blue_3,red_3,purple_3,s16,incorrect,purple_3,c3,38,2,Mnemonic,ad,0,4,green
purple_2,blue_2,green_2,red_2,s4,incorrect,blue_2,c2,39,2,Mnemonic,ad,0,4,purple
blue_2,green_2,red_2,purple_2,s15,incorrect,purple_2,c2,40,2,Mnemonic,ad,0,4,blue
red_4,blue_4,green_4,purple_4,s4,correct,red_4,c4,41,2,Mnemonic,ad,1,4,red
blue_1,green_1,red_1,purple_1,s13,correct,blue_1,c1,42,2,Mnemonic,ad,1,4,blue
green_4,blue_4,red_4,purple_4,s4,correct,green_4,c4,43,2,Mnemonic,ad,1,4,green
green_2,blue_2,red_2,purple_2,s16,incorrect,purple_2,c2,44,2,Mnemonic,ad,0,4,green
blue_4,green_4,red_4,purple_4,s13,incorrect,red_4,c4,45,2,Mnemonic,ad,0,4,blue
purple_3,blue_3,green_3,red_3,s2,incorrect,blue_3,c3,46,2,Mnemonic,ad,0,4,purple
purple_4,blue_4,green_4,red_4,s13,incorrect,blue_4,c4,47,2,Mnemonic,ad,0,4,purple
blue_1,green_1,red_1,purple_1,s13,incorrect,red_1,c1,48,3,Mnemonic,ad,0,4,blue
red_3,blue_3,green_3,purple_3,s13,incorrect,green_3,c3,49,3,Mnemonic,ad,0,4,red
blue_2,green_2,red_2,purple_2,s15,incorrect,red_2,c2,50,3,Mnemonic,ad,0,4,blue
green_1,blue_1,red_1,purple_1,s16,correct,green_1,c1,51,3,Mnemonic,ad,1,4,green
blue_3,green_3,red_3,purple_3,s15,correct,blue_3,c3,52,3,Mnemonic,ad,1,4,blue
red_2,blue_2,green_2,purple_2,s13,correct,red_2,c2,53,3,Mnemonic,ad,1,4,red
green_4,blue_4,red_4,purple_4,s16,incorrect,blue_4,c4,54,3,Mnemonic,ad,0,4,green
purple_4,blue_4,green_4,red_4,s13,correct,purple_4,c4,55,3,Mnemonic,ad,1,4,purple
blue_4,green_4,red_4,purple_4,s15,incorrect,green_4,c4,56,3,Mnemonic,ad,0,4,blue
red_4,blue_4,green_4,purple_4,s15,incorrect,green_4,c4,57,3,Mnemonic,ad,0,4,red
green_2,blue_2,red_2,purple_2,s16,correct,green_2,c2,58,3,Mnemonic,ad,1,4,green
purple_1,blue_1,green_1,red_1,s15,correct,purple_1,c1,59,3,Mnemonic,ad,1,4,purple
purple_2,blue_2,green_2,red_2,s13,incorrect,red_2,c2,60,3,Mnemonic,ad,0,4,purple
red_1,blue_1,green_1,purple_1,s13,incorrect,purple_1,c1,61,3,Mnemonic,ad,0,4,red
green_3,blue_3,red_3,purple_3,s16,incorrect,red_3,c3,62,3,Mnemonic,ad,0,4,green
purple_3,blue_3,green_3,red_3,s13,incorrect,red_3,c3,63,3,Mnemonic,ad,0,4,purple
purple_3,blue_3,green_3,red_3,s13,correct,purple_3,c3,0,0,Mnemonic,ae,1,4,purple
green_2,blue_2,red_2,purple_2,s14,incorrect,blue_2,c2,1,0,Mnemonic,ae,0,4,green
purple_1,blue_1,green_1,red_1,s14,incorrect,green_1,c1,2,0,Mnemonic,ae,0,4,purple
